시군구,종량제,인구수,제조업종사자수,아파트,연립주택,다세대주택,소득수준,1인가구비율,15_64세인구율,외국인수,외국인비율,음식점업종사자수,20ℓ가격,일제대청소참여율,청결유지책임제이행실적,경제활동참가율,재정자주도,공무원단속건수,주민신고건수,인센티브제 도입 여부
서울특별시 영등포구,56445.1,375675,9610,0.4470727,0.008082322,0.089707386,39630,0.429751778,0.737571039,44514,0.110785082,19486,490,0.000385972,0,0.647,0.468,2724,533,0
서울특별시 종로구,38934.5,141379,7834,0.232544783,0.080143429,0.177920586,41792,0.441215734,0.725383544,12964,0.087884376,17559,490,0.000919514,16,0.545,0.5544,17029,93,0
서울특별시 중구,53330.2,120437,17356,0.442552435,0.030838962,0.120849627,38385,0.448755777,0.721339788,12570,0.100353673,23482,490,0.007887941,0,0.599,0.5814,6587,320,0
세종특별자치시,59317.9,383591,20031,0.77460573,0.006330388,0.007395192,43023,0.32827768,0.703520156,8874,0.023194603,9206,540,0.012296952,2,0.651,0.5998,702,126,0
울산광역시 남구,58110,310638,28176,0.604640098,0.012748186,0.045978053,40824,0.332374199,0.743138315,7166,0.023029064,10461,600,0.036933666,0,0.614,0.4027,150,636,0
울산광역시 동구,31015.5,151711,39837,0.604548029,0.019486931,0.051047989,37923,0.301497127,0.710073759,6337,0.041117845,3830,600,0.040326674,0,0.598,0.3942,342,54,0
울산광역시 북구,34328.6,218670,53394,0.776406516,0.007812972,0.019007137,41893,0.24066851,0.73831344,4442,0.020493656,4949,600,0.02998125,14,0.627,0.3916,2,88,0
울산광역시 울주군,41603.7,221512,44548,0.558686229,0.01689452,0.0350339,37657,0.304890519,0.712882372,10840,0.048424419,4790,600,0.018671675,8,0.598,0.54,90,65,0
울산광역시 중구,29701.8,208132,1564,0.505073488,0.019248227,0.069488974,39146,0.311384608,0.707526954,3607,0.017627626,3237,600,0.005506121,22,0.575,0.3713,0,7,0
인천광역시 강화군,5012.5,69803,3109,0.072456338,0.03345979,0.12242387,33018,0.311938207,0.570147415,1589,0.023923517,1661,620,0,9,0.659,0.5976,627,41,0
인천광역시 계양구,29337.8,288856,11252,0.589756218,0.012855675,0.254218003,34173,0.292895414,0.754912482,6447,0.022375938,5526,750,0.008339796,0,0.657,0.3758,6373,421,0
인천광역시 남동구,62686.6,506181,73299,0.590766311,0.014856465,0.188801898,35277,0.31881376,0.727056132,20285,0.039666244,12289,750,0,10,0.627,0.3445,270,776,0
인천광역시 동구,6843.9,58999,9275,0.604012924,0.016115521,0.100362998,33068,0.321512625,0.659282361,1669,0.028737215,1058,620,0,0,0.583,0.4909,960,31,0
인천광역시 미추홀구,54886.2,406004,13376,0.407609727,0.026035331,0.248976107,33129,0.360555301,0.714160452,17495,0.042136726,7728,620,0,6,0.641,0.3284,464,162,0
인천광역시 부평구,60496.4,489118,27421,0.552955738,0.019305495,0.188395006,34856,0.308858338,0.733988526,27176,0.054542462,9967,750,0.0231805,0,0.64,0.337,1175,374,0
인천광역시 서구,78006.7,589013,65939,0.601065785,0.040496303,0.168408276,37521,0.269826223,0.739608464,21324,0.036697879,10975,620,0.011595669,27,0.671,0.3696,9845,5069,0
인천광역시 연수구,55422.9,385796,19641,0.761995897,0.005741508,0.039818805,42484,0.258257721,0.737356012,24904,0.062184135,11662,620,0,5,0.622,0.4143,267,495,0
인천광역시 옹진군,3077.3,20613,138,0.045263266,0.049574053,0.047931849,33138,0.472749666,0.64037258,449,0.023229345,454,620,0,3,0.773,0.5423,29,0,0
인천광역시 중구,33648.5,152931,9507,0.521720994,0.024447292,0.092098206,36991,0.40575651,0.720259463,6659,0.044164561,7750,620,0,17,0.641,0.4724,254,198,0
전라남도 강진군,5465,33177,925,0.116861109,0.028221339,0.017923483,32739,0.407612592,0.553184435,1031,0.032755115,568,290,0.020254996,3,0.688,0.5804,127,6,0
전라남도 고흥군,7721.6,61880,2569,0.101604278,0.022253961,0.032982363,31239,0.425947454,0.506140918,2277,0.038836773,951,260,0.121687136,0,0.733,0.6145,2,0,0
전라남도 곡성군,3053,27060,2980,0.075265483,0.029532594,0.007673824,32673,0.441283621,0.556060606,973,0.036780827,474,530,0.053215078,0,0.688,0.6459,34,5,0
전라남도 광양시,28820,152168,19987,0.654586174,0.037990617,0.010429438,38733,0.308240564,0.721800904,3623,0.024827652,3791,530,0.024794964,1,0.683,0.6389,265,67,0
전라남도 구례군,3573.4,24655,621,0.100196464,0.018842651,0.008840864,32655,0.401946776,0.560981545,592,0.025555795,498,220,0.008517542,0,0.734,0.6322,30,110,0
전라남도 나주시,18013.4,116456,6884,0.46894532,0.006623688,0.005916113,35888,0.390522426,0.6384729,5168,0.045023304,2615,250,0.037885553,3,0.66,0.5875,1050,400,0
전라남도 담양군,9209.9,45792,4055,0.115433606,0.014860418,0.014064324,34621,0.331387326,0.596283194,1832,0.04204535,1295,310,0.035377359,1,0.662,0.6209,33,40,0
전라남도 목포시,50081.6,216939,3296,0.636172319,0.01521071,0.014991926,34203,0.366484347,0.68724388,5944,0.027064314,5294,400,0.006914386,0,0.592,0.488,335,198,0
전라남도 무안군,16079,90608,2511,0.393784713,0.012298334,0.004443269,35502,0.359032002,0.652657602,3245,0.035804921,1747,320,0.04111116,2,0.642,0.59,308,0,0
전라남도 보성군,5072.3,38471,833,0.117246722,0.021302495,0.004979804,31692,0.420184806,0.52455096,1107,0.030542986,659,260,0.142964831,0,0.747,0.6162,23,14,0
전라남도 순천시,36646,278737,7315,0.629867863,0.013012969,0.009565536,37457,0.318176264,0.699763576,4752,0.01746513,7101,580,0.003587611,20,0.647,0.6332,111,198,0
전라남도 신안군,8177,37858,647,0.000826154,0.002301428,0.002950549,31762,0.423108698,0.553278039,1550,0.045390652,501,220,0.026572983,0,0.786,0.5979,0,3,0
