시군구,종량제,인구수,1인가구비율,15_64세인구율,외국인수,외국인비율,아파트,연립주택,다세대주택,소득수준,경제활동참가율,재정자주도,제조업종사자수,음식점업종사자수,20ℓ가격,인센티브제도입,일제대청소참여율,청결유지책임제이행실적,공무원단속건수,주민신고건수
광주광역시 동구,17390.3,105909,0.42361206,0.672737917,2527,0.0238601063,0.516030832,0.0168016392,0.0320616646,35448,0.577,0.3482,1072,4398,740,1,0.00932876337,22,145,102
광주광역시 북구,49306.2,424707,0.365416359,0.714711554,8280,0.0194957936,0.678387746,0.0130886857,0.0111620057,37956,0.562,0.2718,17912,9156,740,0,0.01059554,0,130,350
광주광역시 서구,36607.5,287401,0.372574618,0.726417097,3355,0.011673585,0.665230851,0.00900576932,0.0108350662,32238,0.597,0.3097,9909,9393,740,0,0.00134655064,14,638,374
대구광역시 남구,28733.4,141519,0.465939631,0.678997166,2556,0.0180611791,0.246060709,0.00763812272,0.0742029477,31782,0.533,0.3616,1056,2722,560,0,0.0106699454,8,3488,1319
대구광역시 달서구,91674.9,536989,0.327747395,0.723336977,15653,0.0291495729,0.662412107,0.00496852972,0.025948717,35269,0.571,0.3087,48707,11566,560,0,0.00636325884,1,3417,537
대구광역시 달성군,44931.5,263162,0.282061534,0.699933881,10079,0.0382996025,0.756720737,0.00575927195,0.0170588683,35755,0.645,0.5469,45883,4913,560,0,0.0010449837,7,541,168
대구광역시 동구,57030.7,339530,0.345339815,0.678246399,3708,0.010920979,0.579676096,0.0137239502,0.0822759956,34580,0.566,0.2999,6397,7239,560,0,0.00647954525,8,1127,267
대구광역시 북구,74011.6,430912,0.343704597,0.723658195,8460,0.0196327789,0.631100875,0.0085075928,0.0317864331,34498,0.581,0.3138,25310,9038,560,0,0.00409132259,9,2908,391
대구광역시 서구,34262.5,159827,0.379242035,0.677069581,4018,0.0251396823,0.248073665,0.00974096945,0.138013006,30984,0.537,0.3497,15501,2662,560,0,0.0162988732,0,1130,85
대구광역시 수성구,67371.8,411553,0.278454027,0.7017225,2983,0.00724815516,0.647389991,0.00735127453,0.0392741842,42660,0.54,0.3654,1926,11397,560,0,0.00722628677,2,792,482
대구광역시 중구,22396.8,80199,0.43801121,0.694609658,978,0.0121946658,0.505376921,0.0082061734,0.0257180402,36943,0.6,0.4498,2031,6831,560,0,0.00129677427,5,3179,1193
대전광역시 대덕구,30179.7,172746,0.357365376,0.720937098,4433,0.0256619545,0.533993036,0.0176182623,0.102411058,34172,0.611,0.3505,25936,3641,660,0,0.00347330763,0,78,94
대전광역시 동구,36315.3,219751,0.423431146,0.689621435,7862,0.0357768565,0.484061449,0.0207720221,0.0640589731,31707,0.546,0.3136,4701,4527,660,0,0.00202956983,7,417,84
대전광역시 서구,77064.6,470374,0.383540536,0.733788432,6923,0.0147180754,0.579444513,0.0112871986,0.031070805,37460,0.622,0.3109,2403,12835,660,0,0.00543397382,2,2837,382
대전광역시 유성구,57837.3,356093,0.390177161,0.746529699,10506,0.0295035286,0.641009903,0.00877176158,0.0143659973,42146,0.65,0.363,22997,13235,660,0,0.0019657786,0,459,3115
대전광역시 중구,36635.9,227108,0.361635538,0.684925234,3120,0.0137379573,0.51883897,0.0226451287,0.07977789,34838,0.592,0.3433,2003,5177,660,1,0.00604998503,2,894,196
부산광역시 강서구,23876.1,143207,0.296867547,0.67548374,6687,0.0466946448,0.641101747,0.00544159997,0.0108478649,40296,0.678,0.4991,68775,4715,510,0,0.0178063921,71,554,111
부산광역시 금정구,27413.4,221256,0.389172575,0.679656145,5885,0.0265981488,0.454985565,0.0267690555,0.146503133,34668,0.536,0.3333,7476,5251,850,0,0.00262139784,15,465,95
부산광역시 기장군,26490.4,178614,0.298993637,0.67147592,3386,0.0189570806,0.704145993,0.0165391192,0.0443332492,36349,0.598,0.5434,16995,6703,590,0,0.00520675871,14,364,134
부산광역시 남구,29382.2,256333,0.346943728,0.676065899,8069,0.0314785845,0.548241554,0.0233410927,0.153905611,36021,0.545,0.3299,4292,5909,680,0,0.00486086458,6,333,1306
부산광역시 동구,14765.5,86462,0.425464936,0.648886216,2591,0.0299669219,0.313952925,0.0213095699,0.0986536226,32284,0.546,0.4111,1548,3315,850,0,0.00818856839,10,519,730
부산광역시 동래구,33489.2,273226,0.303014632,0.680550167,1965,0.00719184851,0.601490821,0.0213280073,0.101522028,37942,0.564,0.3476,1953,7150,850,1,0.0118949148,6,356,1115
부산광역시 부산진구,50618.3,355917,0.406432624,0.699087147,4143,0.0116403544,0.567303063,0.00873242698,0.101602062,34300,0.576,0.325,4202,13318,850,0,0.0015453041,35,3954,446
부산광역시 북구,22925.4,278857,0.305509139,0.699910707,3803,0.0136378144,0.73178966,0.0179716273,0.0748363116,34782,0.567,0.3111,1717,4777,680,0,0.00508145752,8,232,109
부산광역시 사상구,19615.4,203789,0.375676824,0.70564162,7081,0.0347467233,0.601531774,0.00761529159,0.0791924958,32280,0.583,0.3274,32179,4531,850,1,0.0123166609,1,195,141
부산광역시 사하구,41155.4,301987,0.342932575,0.687066,6738,0.0223122187,0.615320237,0.0340703319,0.0791956419,33537,0.569,0.3037,26140,5220,850,0,0.00894078222,10,82,131
부산광역시 서구,12733.5,105192,0.412219692,0.647121454,2838,0.026979238,0.396709136,0.0204140252,0.118339796,33378,0.54,0.4036,2262,2688,850,0,0.00502889954,17,712,41
부산광역시 수영구,22792.4,174806,0.402007238,0.681034976,2330,0.0133290619,0.463828676,0.0237411235,0.207837431,36057,0.559,0.3894,1203,6101,850,0,0.0172991774,1,255,375
부산광역시 연제구,28870.5,203536,0.330852936,0.680798483,1566,0.0076939706,0.577875317,0.0138650756,0.114292573,36820,0.571,0.3636,1896,5126,770,0,0.00304123104,21,2472,116
부산광역시 영도구,11576.3,108156,0.38674665,0.624080033,2813,0.0260087281,0.523352861,0.0203033464,0.0595457828,31815,0.527,0.3758,9353,2276,850,0,0.00509449314,2,175,281
부산광역시 중구,17329.7,39689,0.534689161,0.665423669,2560,0.0645014992,0.224728449,0.0289808181,0.205130575,30858,0.573,0.5164,770,4495,850,0,0,2,268,30
부산광역시 해운대구,44727.6,386785,0.308405512,0.691709865,6171,0.0159546001,0.68128919,0.0126527893,0.0729901555,41269,0.552,0.3467,5934,14593,850,0,0.00239150949,4,180,1469
서울특별시 강남구,103389.1,529102,0.346255747,0.728139376,10387,0.0196313754,0.587823943,0.0236706996,0.130447673,58851,0.583,0.5566,17236,44488,490,0,0.000661498161,0,25475,885
서울특별시 강동구,46609,460067,0.318481998,0.715834868,7967,0.017317043,0.491431922,0.0161607547,0.197649442,39747,0.633,0.4662,3087,9753,490,1,0.00613388919,0,10635,133
서울특별시 강북구,39488,293660,0.389518187,0.699335967,6832,0.0232650003,0.265518949,0.0356274995,0.297977528,33193,0.569,0.4425,4093,6173,490,1,0,0,4098,168
서울특별시 강서구,67334.2,569166,0.395595977,0.733603202,10504,0.0184550729,0.445564548,0.01753359,0.252196118,38424,0.626,0.4078,6781,15240,490,0,0.000614934834,7,111,455
서울특별시 관악구,57475.7,486752,0.559196386,0.770291647,24690,0.0507239826,0.216383735,0.0235547438,0.164360281,34486,0.616,0.4293,3255,10671,490,1,0.00869642035,1,5130,319
서울특별시 광진구,28355.9,337416,0.443497824,0.75788048,21279,0.063064585,0.212618958,0.0252583678,0.243514441,37134,0.614,0.4731,4511,10298,490,1,0.00243616189,3,4329,207
서울특별시 구로구,53145.3,395315,0.348506157,0.713942046,45507,0.115115794,0.481586971,0.0403774789,0.164405418,35107,0.645,0.4443,14921,9150,490,0,0.00798350682,0,4738,293
서울특별시 금천구,34783,229642,0.456486191,0.741811167,26608,0.115867307,0.294157504,0.0337251217,0.219579181,33384,0.655,0.4846,35013,6795,490,1,0.0111739142,0,5334,197
서울특별시 노원구,49099.5,503734,0.307307464,0.716683805,7212,0.01431708,0.782058534,0.0166034387,0.0714996245,37368,0.586,0.4211,2632,9752,490,1,0.0026144751,0,2825,74
서울특별시 도봉구,34119,311694,0.308152743,0.699840228,4396,0.0141035759,0.492576081,0.0314867222,0.220600892,35064,0.588,0.4724,2246,4542,490,1,0.00112289617,7,701,47
서울특별시 동대문구,39354.4,336644,0.43722741,0.721572343,23258,0.0690878198,0.424675458,0.0202293602,0.104424291,34627,0.531,0.4561,9214,7689,490,0,0.00297049702,0,8337,225
서울특별시 동작구,42592.6,380596,0.415655255,0.732241011,16652,0.0437524304,0.37999143,0.028859962,0.192193218,38740,0.598,0.4967,1149,7354,490,1,0.00604315337,0,10257,253
서울특별시 마포구,52156.2,364638,0.422878813,0.751707173,14593,0.0400205135,0.436634602,0.0170830239,0.206856156,41286,0.627,0.4827,4059,19336,490,0,0.00493640268,4,3908,363
서울특별시 서대문구,42263.4,306337,0.3990503,0.723689923,18128,0.0591766584,0.410429056,0.0365105151,0.195982153,37249,0.582,0.4787,1531,8665,490,0,0.00232750206,0,4251,143
서울특별시 서초구,66302.7,404325,0.302613436,0.717652878,8470,0.0209484944,0.573848813,0.03089253,0.164639317,60102,0.607,0.5542,5796,22404,490,0,0.00160761763,0,15216,0
서울특별시 성동구,31496.8,281000,0.378830174,0.735113879,11809,0.042024911,0.540362814,0.0161548916,0.0776574186,42067,0.62,0.5279,22890,9389,490,0,0.00138078292,0,1216,364
서울특별시 성북구,44266.8,430397,0.36539256,0.720692756,16620,0.0386155108,0.444165416,0.0315591503,0.158529559,38741,0.571,0.4445,5511,8053,490,0,0.0116171813,2,3395,182
서울특별시 송파구,63567.7,658801,0.313052291,0.728402052,11784,0.0178870402,0.499506544,0.0171798609,0.257162704,46375,0.607,0.4578,7966,21059,490,1,0.000979051337,17,5732,719
서울특별시 양천구,48836.7,440881,0.268695673,0.720303211,6764,0.0153420084,0.532897534,0.021831302,0.235071807,42646,0.603,0.4567,3301,8399,490,1,0.00408273434,5,858,331
서울특별시 영등포구,56445.1,375675,0.429751778,0.737571039,44514,0.118490717,0.4470727,0.00808232232,0.0897073862,39630,0.647,0.468,9610,19486,490,0,0.000385971917,0,2724,533
서울특별시 용산구,39719,218650,0.42075282,0.738600503,17045,0.0779556369,0.368479839,0.0336403237,0.178761817,62402,0.62,0.5547,1578,12826,490,1,0.0143013949,11,755,406
서울특별시 은평구,52747.9,466746,0.335203816,0.71632751,7425,0.0159080099,0.336156896,0.0277259615,0.346233041,36430,0.589,0.4287,2030,7754,490,1,0.00905203258,1,4531,128
