시군구,종량제,인구수,제조업종사자수,아파트,연립주택,다세대주택,소득수준,1인가구비율,15_64세인구율,외국인수,외국인비율,음식점업종사자수,20ℓ가격,일제대청소참여율,청결유지책임제이행실적,경제활동참가율,재정자주도,공무원단속건수,주민신고건수
전라북도 김제시,0.0698349918,0.0678748036,0.0437039116,0.345259202,0.20054673,0.00939703901,0.00984255828,0.517331577,0.295961383,0.0353513467,0.260036419,0.027339524,0.172839506,0.0330434068,0.00597014925,0.463917526,0.697555556,0.000277003195,0.00299009531
전라북도 남원시,0.0766959556,0.0645896778,0.010005735,0.392569387,0.0932000221,0.0152533201,0.0171623891,0.512478522,0.366726852,0.0209637928,0.14894018,0.0263928958,0.234567901,0.0322818777,0.00298507463,0.505154639,0.819777778,0.000129268158,0.00710147636
전라북도 부안군,0.0483910259,0.0384978909,0.00928987753,0.271032459,0.0960579265,0.0311733959,0.00932624878,0.550610074,0.236993265,0.0164568482,0.205668933,0.0258745041,0.296296296,0.115622654,0.00597014925,0.680412371,0.677555556,0.000443205112,0.000747523827
전라북도 순창군,0.0141115822,0.0166092293,0.0042341342,0.140566964,0.180328592,0.0211586972,0.0128685241,0.520284292,0.213133182,0.00708543694,0.191099147,0.00509376127,0.345679012,0.201746843,0.00597014925,0.656357388,0.787777778,0.00053553951,0.000934404784
전라북도 익산시,0.204061091,0.247954407,0.0941555932,0.67461737,0.160582104,0.0622027704,0.0217699612,0.518529389,0.648032175,0.0935949384,0.172161373,0.129507753,0.222222222,0.047725523,0.0208955224,0.274914089,0.610666667,0.0030839689,0.0437301439
전라북도 임실군,0,0.0164040845,0.00620680959,0.156040564,0.099714671,0.019576523,0.011058173,0.667005588,0.129259886,0.00671708089,0.185023874,0.0091282005,0.271604938,0.20341361,0.00597014925,0.670103093,0.815777778,0.00140348285,0.017193048
전라북도 장수군,0.0383451583,0.0115592967,0.0022614588,0.0938931374,0.205014013,0.0275167003,0.0121561477,0.553765087,0.1820025,0.00672791489,0.243154821,0.00410205554,0.271604938,0.0947709508,0.0149253731,0.838487973,0.808444444,0.000184668797,0.00168192861
전라북도 전주시,0.520570486,0.601850612,0.0486010274,0.750813932,0.114855057,0.0444557769,0.278343104,0.493903381,0.77040139,0.161654135,0.107389979,0.397335918,0.395061728,0,0.00298507463,0.29209622,0.486666667,0.0204243689,0.117361241
제주특별자치도 서귀포시,0.229282618,0.164653469,0.00868383911,0.265243831,1,0.181391374,0.0347430543,0.445453754,0.612588261,0.108914216,0.345564956,0.294311215,0.691358025,0.043725416,0.0119402985,0.762886598,0.918888889,0.00607560341,0.0192487386
제주특별자치도 제주시,0.5208936,0.453747357,0.0333687195,0.324737307,0.819940652,0.331551063,0.0296714572,0.412480989,0.75409732,0.225325562,0.245385152,0.541493869,0.691358025,0.00588327118,0.00895522388,0.615120275,0.918888889,0.0116156673,0.03905812
충청남도 계룡시,0.0359581722,0.033234383,0.00305052896,1,0.0368474266,0.0462763983,0.0608068806,0.198563968,0.800516055,0.00247015233,0.0225614877,0.0158898305,0.407407407,0.0363715877,0,0.0927835052,0.944444444,0.000295470074,0.0069145954
충청남도 공주시,0.08430465,0.0876548772,0.0375133715,0.422706641,0.145540258,0.0560238373,0.016267017,0.575746736,0.474201777,0.0395549392,0.203996841,0.0586458709,0.222222222,0.276470825,0,0.316151203,0.732222222,0.00596480213,0.0603625491
충청남도 금산군,0.0430136813,0.0384960175,0.0427928203,0.230276041,0.185620055,0.105433217,0.0103392611,0.578848005,0.28374388,0.0402049793,0.473990663,0.0147403534,0.0864197531,0.134554616,0.00597014925,0.39862543,0.809777778,0.00203135676,0.00635395253
충청남도 논산시,0.156978311,0.0970653063,0.0410723219,0.371487476,0.178305153,0.0509013228,0.0135220804,0.543670526,0.423351582,0.0776472882,0.391085311,0.0488865849,0.407407407,0,0.00298507463,0.333333333,0.736666667,0.00720208306,0.00485890488
충청남도 당진시,0.20185568,0.149181435,0.143171493,0.539701747,0.192627425,0.111747673,0.0471998379,0.530872308,0.606658861,0.108686702,0.367696786,0.0882843491,0.456790123,0.0929377488,0.0149253731,0.628865979,0.801555556,0.00583553397,0.0196225005
충청남도 보령시,0.158589936,0.0825833998,0.0198853815,0.444294726,0.245179786,0.0461759572,0.0212079028,0.490709914,0.441974935,0.0507031267,0.3039454,0.056797692,0.296296296,0.0462489221,0,0.367697595,0.749333333,0.00679581171,0.0102784526
충청남도 부여군,0.0385160198,0.0499719448,0.00664608576,0.180467487,0.253739974,0.0664235018,0.00850930337,0.511451623,0.176627467,0.0253948994,0.240552937,0.0190677966,0.320987654,0,0,0.474226804,0.695777778,0.00910417167,0.00392450009
충청남도 서산시,0.188472092,0.156825184,0.089701821,0.607779354,0.174456489,0.125801115,0.0483762393,0.44861001,0.628815123,0.0822734069,0.255796059,0.0800351605,0.395061728,0.0254709472,0.00895522388,0.625429553,0.746444444,0.016730993,0.0106522145
충청남도 아산시,0.312609467,0.304947173,0.391142891,0.748818582,0.0789574585,0.0613206322,0.0507421132,0.484875646,0.762645052,0.366460098,0.604754184,0.198205914,0.259259259,0.0847536333,0.0328358209,0.4604811,0.552888889,0.0130191502,0.030087834
충청남도 예산군,0.0720996117,0.0640622966,0.0395877312,0.349499775,0.28611236,0.115315564,0.0192472338,0.494387943,0.316703638,0.0397824533,0.302569677,0.0365578796,0.320987654,0.0580656019,0,0.618556701,0.732222222,0.00505992502,0.02149131
충청남도 천안시,0.791941427,0.607530966,0.350839302,0.735894277,0.13899631,0.0910934403,0.285499546,0.543336282,0.893241744,0.381768542,0.309152286,0.399567256,0.444444444,0,0,0.4604811,0.623777778,0.0662960979,0.17379929
충청남도 청양군,0.0137653479,0.0199243306,0.00835031461,0.127738574,0.161188843,0.0712629081,0.0121561477,0.536145291,0.197921232,0.0120907456,0.263241948,0.00827172737,0.320987654,0.322166536,0.00895522388,0.81443299,0.764222222,0.000110801278,0.00672771445
충청남도 태안군,0.0376188559,0.049027717,0.00287563197,0.235708011,0.220813345,0.148655664,0.0169140377,0.572856423,0.302194526,0.0259691014,0.250661639,0.0417417959,0.259259259,1,0.0358208955,0.663230241,0.753333333,0.00413658104,0.00317697627
충청남도 홍성군,0.0993878308,0.0834367644,0.0200033352,0.485397581,0.114423165,0.0971436057,0.0293642858,0.468997851,0.459039458,0.0462936881,0.261955383,0.0448070682,0.320987654,0.138420091,0.0119402985,0.577319588,0.726444444,0.0022714262,0.00224257148
충청북도 괴산군,0.0263848523,0.0262838173,0.0156512473,0.0853407904,0.0916374668,0.0578937403,0.00782306923,0.650205923,0.238317883,0.0163268402,0.268419483,0.0124188604,0.172839506,0.242526332,0.00298507463,0.501718213,0.742,0.000295470074,0.00056064287
충청북도 단양군,0.0527133147,0.0175834325,0.00756124445,0.221847916,0.488578336,0.0488805999,0.012391428,0.578799544,0.318132179,0.00309852441,0.0827995151,0.0146501983,0.197530864,0.0485476276,0,0.532646048,0.895333333,5.54E-05,0.00280321435
충청북도 보은군,0.0365970702,0.0210381073,0.0143822272,0.214350759,0.126927327,0.0375056515,0.0119012607,0.566356667,0.198180851,0.0105089814,0.220857872,0.0112243058,0.160493827,0.143566161,0,0.567010309,0.899333333,0.000313936954,0.000934404784
충청북도 영동군,0.0460536629,0.033684952,0.00888720771,0.209400405,0.297258123,0.0699083406,0.0135678293,0.553724875,0.27481343,0.015470954,0.212044092,0.0119906239,0.283950617,0.229887782,0,0.412371134,0.822444444,0.0011818803,0
충청북도 옥천군,0.0688842574,0.0379602057,0.0231514811,0.314231406,0.183013764,0.114460366,0.0100386252,0.388706808,0.332837911,0.015070096,0.183555372,0.02028489,0.160493827,0.12449422,0,0.487972509,0.868666667,0.000406271352,0.00186880957
충청북도 음성군,0.0886889678,0.0778069935,0.162023762,0.50702082,0.151996327,0.101586603,0.0162735525,0.639919121,0.621230285,0.164449308,1,0.0568878471,0.617283951,0.0763885952,0,0.711340206,0.740444444,1.85E-05,0.00242945244
충청북도 제천시,0.171011511,0.114274045,0.0316441538,0.604324558,0.248672854,0.0365496822,0.0230182538,0.516249138,0.571674238,0.0320469762,0.118911172,0.0659258925,0.197530864,0.0568416564,0,0.364261168,0.780444444,0.0029916345,0.0123341432
충청북도 증평군,0.0448948497,0.0264777212,0.0193200168,0.6901889,0.182169908,0.03006614,0.0262206798,0.566094629,0.669111202,0.0167276982,0.275721037,0.0142670393,0.172839506,0.0241179016,0.0328358209,0.4604811,0.757333333,0.000221602556,0.00112128574
충청북도 진천군,0.0914571498,0.0722699592,0.124229741,0.632134565,0.274702727,0.116283078,0.0306125783,0.529250655,0.70047859,0.115815475,0.768525957,0.0397133069,0.617283951,0.0834556139,0.0298507463,0.649484536,0.828444444,0.000720208306,0.00784900019
충청북도 청주시,0.962627568,0.787396994,0.359364514,0.718995783,0.085910613,0.0349679856,0.773529662,0.502137836,0.815242429,0.278195489,0.159417745,0.476266679,0.567901235,0,0.268656716,0.453608247,0.657333333,0.0181898765,0.181087647
충청북도 충주시,0.222090082,0.186673274,0.095005674,0.585138855,0.233570707,0.10639905,0.0234626721,0.557539721,0.638658839,0.0921648502,0.231478638,0.135367833,0.407407407,0.108971212,0.0179104478,0.426116838,0.757111111,0.0102306513,0.00784900019
