시군구,일제대청소참여율
 전라남도 순천시 ,0.00358761126
 전라남도 신안군 ,0.0265729833
 전라남도 여수시 ,0.0303750478
 전라남도 영광군 ,0.0239477365
 전라남도 영암군 ,0.0380952381
 전라남도 완도군 ,0.08403891
 전라남도 장성군 ,0.00811199184
 전라남도 장흥군 ,0.0117812062
 전라남도 진도군 ,0.0420239265
 전라남도 함평군 ,0.0324844075
 전라남도 해남군 ,0.0216919081
 전라남도 화순군 ,0.032890494
 전라북도 고창군 ,0
 전라북도 군산시 ,0.00285750209
 전라북도 김제시 ,0.00735375361
 전라북도 남원시 ,0.0071842767
 전라북도 무주군 ,0.0745029588
 전라북도 부안군 ,0.0257316245
 전라북도 순창군 ,0.0448984173
 전라북도 완주군 ,0.00836380948
 전라북도 익산시 ,0.0106212344
 전라북도 임실군 ,0.0452693526
 전라북도 장수군 ,0.0210911136
 전라북도 전주시 ,0
 전라북도 정읍시 ,0.00495807996
 전라북도 진안군 ,0.0203665988
 제주특별자치도 서귀포시 ,0.00973101694
 제주특별자치도 제주시 ,0.00130931172
 충청남도 계룡시 ,0.00809443508
 충청남도 공주시 ,0.0615281122
 충청남도 금산군 ,0.0299449014
 충청남도 논산시 ,0
 충청남도 당진시 ,0.0206831379
 충청남도 보령시 ,0.0102926192
 충청남도 부여군 ,0
 충청남도 서산시 ,0.00566851649
 충청남도 서천군 ,0.0356656793
 충청남도 아산시 ,0.018861777
 충청남도 예산군 ,0.012922401
 충청남도 천안시 ,0
 충청남도 청양군 ,0.0716976145
 충청남도 태안군 ,0.2225483
 충청남도 홍성군 ,0.0308051556
 충청북도 괴산군 ,0.0539738227
 충청북도 단양군 ,0.010804192
 충청북도 보은군 ,0.0319504053
 충청북도 영동군 ,0.0511611353
 충청북도 옥천군 ,0.0277059774
 충청북도 음성군 ,0.0170001521
 충청북도 제천시 ,0.0126500137
 충청북도 증평군 ,0.00536739842
 충청북도 진천군 ,0.0185729045
 충청북도 청주시 ,0
 충청북도 충주시 ,0.0242513576
