시군구,1인가구비율
충청남도 부여군,0.364939206
충청남도 서산시,0.343104396
충청남도 서천군,0.374675774
충청남도 아산시,0.355705175
충청남도 예산군,0.359010297
충청남도 천안시,0.37601778
충청남도 청양군,0.373519214
충청남도 태안군,0.386274784
충청남도 홍성군,0.350188311
충청북도 괴산군,0.413150473
충청북도 단양군,0.388339768
충청북도 보은군,0.384016393
충청북도 영동군,0.379627378
충청북도 옥천군,0.32229056
충청북도 음성군,0.409576243
충청북도 제천시,0.36660614
충청북도 증평군,0.383925346
충청북도 진천군,0.371123619
충청북도 청주시,0.361703058
충청북도 충주시,0.380952876
