시군구,재활용발생량
전라남도 화순군,"3,105.00"
전라북도 고창군,"7,889.50"
전라북도 군산시,"10,565.10"
전라북도 김제시,"2,522.80"
전라북도 남원시,"4,161.10"
전라북도 무주군,"1,948.90"
전라북도 부안군,"2,758.70"
전라북도 순창군,"1,288.50"
전라북도 완주군,"3,490.60"
전라북도 익산시,"21,661.40"
전라북도 임실군,"1,168.30"
전라북도 장수군,939.1
전라북도 전주시,"49,685.20"
전라북도 정읍시,"5,129.40"
전라북도 진안군,"3,949.80"
제주특별자치도 서귀포시,"29,303.80"
제주특별자치도 제주시,"173,964.80"
충청남도 계룡시,"2,024.40"
충청남도 공주시,"3,839.60"
충청남도 금산군,"1,958.50"
충청남도 논산시,"8,797.40"
충청남도 당진시,"7,138.20"
충청남도 보령시,"2,675.20"
충청남도 부여군,"8,502.40"
충청남도 서산시,"9,518.90"
충청남도 서천군,"1,983.30"
충청남도 아산시,"20,898.70"
충청남도 예산군,"4,501.00"
충청남도 천안시,"32,491.70"
충청남도 청양군,"1,572.90"
충청남도 태안군,"1,219.00"
충청남도 홍성군,"3,958.30"
충청북도 괴산군,"5,232.30"
충청북도 단양군,"3,599.50"
충청북도 보은군,"3,732.30"
충청북도 영동군,"2,393.20"
충청북도 옥천군,"3,460.60"
충청북도 음성군,"7,737.30"
충청북도 제천시,"8,719.90"
충청북도 증평군,"2,053.30"
충청북도 진천군,"6,092.00"
충청북도 청주시,"57,346.00"
충청북도 충주시,"18,584.80"
