시군구,아파트,연립주택,다세대주택
부산광역시 남구,0.548241554,0.0233410927,0.153905611
부산광역시 동구,0.313952925,0.0213095699,0.0986536226
부산광역시 동래구,0.601490821,0.0213280073,0.101522028
부산광역시 부산진구,0.567303063,0.00873242698,0.101602062
부산광역시 북구,0.73178966,0.0179716273,0.0748363116
부산광역시 사상구,0.601531774,0.00761529159,0.0791924958
부산광역시 사하구,0.615320237,0.0340703319,0.0791956419
부산광역시 서구,0.396709136,0.0204140252,0.118339796
부산광역시 수영구,0.463828676,0.0237411235,0.207837431
부산광역시 연제구,0.577875317,0.0138650756,0.114292573
부산광역시 영도구,0.523352861,0.0203033464,0.0595457828
부산광역시 중구,0.224728449,0.0289808181,0.205130575
부산광역시 해운대구,0.68128919,0.0126527893,0.0729901555
서울특별시 강남구,0.587823943,0.0236706996,0.130447673
서울특별시 강동구,0.491431922,0.0161607547,0.197649442
서울특별시 강북구,0.265518949,0.0356274995,0.297977528
서울특별시 강서구,0.445564548,0.01753359,0.252196118
서울특별시 관악구,0.216383735,0.0235547438,0.164360281
서울특별시 광진구,0.212618958,0.0252583678,0.243514441
서울특별시 구로구,0.481586971,0.0403774789,0.164405418
서울특별시 금천구,0.294157504,0.0337251217,0.219579181
서울특별시 노원구,0.782058534,0.0166034387,0.0714996245
서울특별시 도봉구,0.492576081,0.0314867222,0.220600892
서울특별시 동대문구,0.424675458,0.0202293602,0.104424291
서울특별시 동작구,0.37999143,0.028859962,0.192193218
서울특별시 마포구,0.436634602,0.0170830239,0.206856156
서울특별시 서대문구,0.410429056,0.0365105151,0.195982153
서울특별시 서초구,0.573848813,0.03089253,0.164639317
서울특별시 성동구,0.540362814,0.0161548916,0.0776574186
서울특별시 성북구,0.444165416,0.0315591503,0.158529559
서울특별시 송파구,0.499506544,0.0171798609,0.257162704
서울특별시 양천구,0.532897534,0.021831302,0.235071807
서울특별시 영등포구,0.4470727,0.00808232232,0.0897073862
서울특별시 용산구,0.368479839,0.0336403237,0.178761817
서울특별시 은평구,0.336156896,0.0277259615,0.346233041
서울특별시 종로구,0.232544783,0.0801434293,0.177920586
서울특별시 중구,0.442552435,0.030838962,0.120849627
서울특별시 중랑구,0.338258748,0.025236889,0.203800779
세종특별자치시,0.77460573,0.00633038781,0.0073951915
울산광역시 남구,0.604640098,0.0127481856,0.0459780532
울산광역시 동구,0.604548029,0.0194869305,0.051047989
울산광역시 북구,0.776406516,0.00781297171,0.0190071367
울산광역시 울주군,0.558686229,0.0168945204,0.0350339002
울산광역시 중구,0.505073488,0.0192482274,0.0694889739
인천광역시 강화군,0.0724563382,0.0334597902,0.12242387
인천광역시 계양구,0.589756218,0.0128556751,0.254218003
인천광역시 남동구,0.590766311,0.014856465,0.188801898
인천광역시 동구,0.604012924,0.0161155212,0.100362998
인천광역시 미추홀구,0.407609727,0.0260353313,0.248976107
인천광역시 부평구,0.552955738,0.0193054953,0.188395006
인천광역시 서구,0.601065785,0.0404963034,0.168408276
인천광역시 연수구,0.761995897,0.00574150821,0.0398188052
인천광역시 옹진군,0.0452632659,0.0495740532,0.0479318485
인천광역시 중구,0.521720994,0.0244472916,0.0920982063
전라남도 강진군,0.116861109,0.0282213387,0.017923483
전라남도 고흥군,0.101604278,0.0222539609,0.0329823629
전라남도 곡성군,0.0752654833,0.0295325944,0.00767382373
